               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.066435,           0.0087938,            0.017527,             0.88954,             0.41862,             0.49961,              0.3178,            0.055704,           0.0068397,            0.016803,           0.0079012,           0.0079012,           0.0079012
                 108,            0.065615,           0.0086031,            0.017205,             0.85103,             0.44927,             0.50246,             0.32106,            0.055716,           0.0068409,            0.016756,           0.0078814,           0.0078814,           0.0078814
                 109,            0.064717,           0.0083119,            0.016694,             0.86596,             0.43427,             0.50069,             0.32454,            0.055694,           0.0068392,            0.016593,           0.0078616,           0.0078616,           0.0078616
                 110,            0.064309,           0.0086067,            0.016484,             0.87622,             0.42716,             0.50518,             0.32508,            0.055621,           0.0068274,            0.016512,           0.0078418,           0.0078418,           0.0078418
                 111,            0.065179,           0.0086491,            0.017356,             0.88555,             0.43051,             0.50236,             0.32113,            0.055568,           0.0068211,            0.016498,            0.007822,            0.007822,            0.007822
                 112,            0.065343,           0.0085846,            0.017039,             0.88804,             0.42579,              0.5086,             0.32645,             0.05553,           0.0068163,            0.016479,           0.0078022,           0.0078022,           0.0078022
                 113,            0.063836,           0.0087087,            0.016783,             0.88371,              0.4266,             0.50772,             0.32655,              0.0555,            0.006819,             0.01645,           0.0077824,           0.0077824,           0.0077824
                 114,            0.066271,           0.0084436,            0.016297,             0.88461,              0.4226,             0.50806,             0.32673,             0.05554,           0.0068154,            0.016369,           0.0077626,           0.0077626,           0.0077626
                 115,            0.065112,           0.0085726,            0.016412,             0.82823,             0.47054,             0.51901,             0.33364,            0.055538,           0.0068106,            0.016237,           0.0077428,           0.0077428,           0.0077428
                 116,            0.065365,           0.0088173,            0.016458,              0.8627,             0.44679,             0.51499,             0.32899,            0.055507,           0.0068157,            0.016179,            0.007723,            0.007723,            0.007723
                 117,             0.06512,            0.008564,            0.016281,             0.83956,             0.45881,             0.51771,             0.33317,            0.055438,           0.0068073,            0.016095,           0.0077032,           0.0077032,           0.0077032
                 118,            0.063801,           0.0086916,            0.016256,             0.83888,             0.46783,             0.51989,             0.33612,            0.055371,           0.0067972,            0.016031,           0.0076834,           0.0076834,           0.0076834
                 119,            0.063015,           0.0082993,            0.015763,             0.84257,              0.4734,             0.52541,             0.33861,            0.055336,           0.0067848,            0.016021,           0.0076636,           0.0076636,           0.0076636
                 120,            0.064106,           0.0086275,            0.015929,             0.86213,             0.46217,             0.52697,             0.34087,            0.055293,           0.0067885,            0.015987,           0.0076438,           0.0076438,           0.0076438
                 121,            0.064119,           0.0085585,            0.015579,             0.85981,             0.45695,             0.53556,             0.34767,            0.055308,           0.0067745,            0.015944,            0.007624,            0.007624,            0.007624
                 122,            0.065484,           0.0089312,            0.016325,             0.89636,             0.43292,             0.53318,             0.34535,             0.05529,           0.0067634,            0.015948,           0.0076042,           0.0076042,           0.0076042
                 123,            0.065524,           0.0086386,            0.016163,              0.8882,             0.44052,             0.52846,             0.33992,            0.055278,           0.0067693,            0.015957,           0.0075844,           0.0075844,           0.0075844
                 124,            0.063609,           0.0083754,            0.015737,             0.89078,             0.44237,             0.52516,             0.33903,            0.055254,           0.0067711,            0.015898,           0.0075646,           0.0075646,           0.0075646
                 125,            0.063677,           0.0086263,            0.015187,              0.8906,             0.44105,             0.52836,             0.34071,            0.055225,           0.0067733,            0.015901,           0.0075448,           0.0075448,           0.0075448
                 126,             0.06334,           0.0086271,            0.015165,             0.89556,             0.44002,             0.52724,             0.33942,            0.055195,           0.0067771,            0.015884,            0.007525,            0.007525,            0.007525
                 127,            0.064896,           0.0084683,            0.016179,             0.90075,             0.43956,             0.52921,             0.34103,            0.055156,           0.0067848,            0.015872,           0.0075052,           0.0075052,           0.0075052
                 128,            0.064246,           0.0083891,            0.016258,              0.9027,              0.4372,               0.537,             0.34821,            0.055139,           0.0067798,             0.01586,           0.0074854,           0.0074854,           0.0074854
                 129,            0.064675,           0.0089408,            0.015891,             0.90137,             0.43892,             0.53702,             0.34796,            0.055134,           0.0067728,            0.015833,           0.0074656,           0.0074656,           0.0074656
                 130,            0.064737,           0.0085203,             0.01551,             0.90085,             0.43906,             0.53711,             0.34975,            0.055121,           0.0067622,            0.015819,           0.0074458,           0.0074458,           0.0074458
                 131,            0.063193,           0.0082913,            0.015674,             0.90034,             0.44252,             0.53282,             0.34507,            0.055058,           0.0067516,            0.015806,            0.007426,            0.007426,            0.007426
                 132,            0.062872,           0.0085289,            0.014977,             0.89433,               0.446,             0.54244,             0.35261,            0.055023,            0.006743,            0.015778,           0.0074062,           0.0074062,           0.0074062
                 133,            0.062889,           0.0088114,            0.015267,             0.89389,             0.44558,             0.53867,             0.35038,            0.054972,           0.0067369,             0.01578,           0.0073864,           0.0073864,           0.0073864
                 134,            0.063316,           0.0087809,            0.016001,             0.85127,             0.47273,             0.53787,             0.34897,            0.054921,           0.0067349,            0.015772,           0.0073666,           0.0073666,           0.0073666
                 135,            0.065189,           0.0083977,            0.016238,             0.85278,             0.47342,             0.53641,             0.34845,            0.054897,           0.0067355,            0.015751,           0.0073468,           0.0073468,           0.0073468
                 136,            0.064373,            0.008743,              0.0163,             0.86171,             0.47022,             0.53708,             0.34731,            0.054868,           0.0067397,            0.015742,            0.007327,            0.007327,            0.007327
                 137,            0.063081,           0.0084467,            0.015321,             0.87036,             0.47252,             0.53726,             0.34718,            0.054835,           0.0067419,            0.015713,           0.0073072,           0.0073072,           0.0073072
                 138,            0.064994,           0.0083948,            0.015236,             0.87406,             0.47519,             0.54011,              0.3493,            0.054823,           0.0067393,            0.015697,           0.0072874,           0.0072874,           0.0072874
                 139,            0.064841,           0.0086737,            0.015747,             0.87877,             0.47516,             0.54422,             0.35138,            0.054798,           0.0067348,            0.015679,           0.0072676,           0.0072676,           0.0072676
                 140,            0.064541,           0.0083512,            0.015422,             0.87862,             0.47456,             0.54468,             0.35198,             0.05478,           0.0067336,            0.015678,           0.0072478,           0.0072478,           0.0072478
                 141,            0.063724,           0.0083745,            0.015332,             0.87657,             0.47515,             0.54569,              0.3538,            0.054766,           0.0067272,            0.015678,            0.007228,            0.007228,            0.007228
                 142,            0.063909,           0.0084833,            0.015246,             0.88331,             0.47038,              0.5484,             0.35664,            0.054751,           0.0067241,            0.015669,           0.0072082,           0.0072082,           0.0072082
                 143,            0.064714,           0.0084571,            0.015287,             0.88615,               0.471,             0.54856,             0.35529,            0.054734,           0.0067216,            0.015624,           0.0071884,           0.0071884,           0.0071884
                 144,             0.06464,           0.0084469,             0.01498,             0.86988,             0.48266,             0.55609,             0.36039,            0.054714,           0.0067181,            0.015587,           0.0071686,           0.0071686,           0.0071686
                 145,            0.064167,           0.0087313,            0.014611,              0.8717,             0.48241,              0.5572,             0.36121,            0.054692,           0.0067152,            0.015566,           0.0071488,           0.0071488,           0.0071488
                 146,            0.063678,           0.0082226,            0.014679,             0.87713,             0.49257,             0.55659,             0.36062,             0.05467,           0.0067114,            0.015553,            0.007129,            0.007129,            0.007129
                 147,            0.064249,             0.00841,            0.014595,             0.86269,              0.4937,             0.55488,             0.35912,            0.054656,             0.00671,            0.015535,           0.0071092,           0.0071092,           0.0071092
                 148,            0.064369,           0.0083267,            0.014956,             0.88645,             0.48553,             0.55444,             0.35765,            0.054646,           0.0067099,            0.015526,           0.0070894,           0.0070894,           0.0070894
                 149,            0.062556,           0.0082548,            0.014615,             0.88824,             0.48494,             0.55322,             0.35817,            0.054625,           0.0067077,             0.01551,           0.0070696,           0.0070696,           0.0070696
                 150,            0.065161,           0.0086595,            0.015193,             0.89113,              0.4823,              0.5526,             0.35756,            0.054627,           0.0067076,            0.015485,           0.0070498,           0.0070498,           0.0070498
                 151,            0.063118,           0.0082806,            0.014619,             0.88849,             0.48258,             0.55264,             0.35803,            0.054614,           0.0067051,            0.015463,             0.00703,             0.00703,             0.00703
                 152,            0.064094,           0.0082998,            0.014471,             0.87959,             0.48184,              0.5537,             0.35719,            0.054592,            0.006701,            0.015437,           0.0070102,           0.0070102,           0.0070102
                 153,            0.063141,           0.0083694,            0.014215,             0.88494,             0.48475,             0.55598,             0.35991,            0.054578,            0.006697,             0.01542,           0.0069904,           0.0069904,           0.0069904
                 154,            0.063191,           0.0086301,            0.014963,             0.88339,             0.48589,             0.55689,             0.36022,            0.054569,           0.0066927,            0.015398,           0.0069706,           0.0069706,           0.0069706
                 155,            0.062964,           0.0084341,            0.014269,              0.8804,             0.48778,             0.55891,             0.36244,            0.054568,           0.0066882,            0.015383,           0.0069508,           0.0069508,           0.0069508
